"-OR-","-Ή-"
"IPN verification ""%s"".","Επαλήθευση ΑΓΠ - Άμεσης Γνωστοποίησης Πληρωμής ""%s"". "
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Αν κενό, η προκαθορισμένη τιμή θα χρησιμοποιηθεί. Το προκαθορισμένο URL μπορεί να παρέχεται από συμφωνία με τη CardinalCommerce."
"If not specified, Default Country from General Config will be used","Αν δεν καθοριστεί, Προκαθορισμένη Χώρα από τη Γενική Διαμόρφωση θα χρησιμοποιηθεί"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Αν αυτή η επιλογή είναι ενεργοποιημένη, ο πελάτης μπορεί να αλλάξει την διεύθυνση και την μέθοδο αποστολής στον ιστότοπο του PayPal. Σε ζωντανή σύνδεση λειτουργεί μόνο μέσω πρωτοκόλλου HTTPS."
"If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here.","Εάν δεν έχετε ρυθμίσεις για πολλαπλούς χρήστες στον λογαριασμό σας, παρακαλούμε εισάγετε ξανά την Σύνδεση του Πωλητή / Εμπόρου εδώ."
"Impossible to issue a refund transaction because the capture transaction does not exist.","Αδύνατο να εκδοθεί μια πράξη επιστροφής, διότι η συναλλαγή σύλληψης δεν υπάρχει."
"I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you.","Λυπούμαστε - αλλά δεν ήταν δυνατόν να ολοκληρώσουμε τη συναλλαγή σας. Παρακαλώ επικοινωνήστε μαζί μας ώστε να μπορέσουμε να σας βοηθήσουμε. "
"I'm sorry - but we were not able to process your payment. Please try another payment method or contact us so we can assist you.","Λυπούμαστε - αλλά δεν ήταν δυνατόν να επεξεργαστούμε τη πληρωμή σας. Παρακαλούμε προσπαθήστε κάποιον άλλο τρόπο πληρωμής ή επικοινωνήστε μαζί μας ώστε να μπορέσουμε να σας βοηθήσουμε."
"Incentive","Κίνητρο"
"Initiation Date","Ημερομηνία Έναρξης"
"Integral Evolution","Αναπόσπαστη Εξέλιξη"
"Invoice ID","Αναγνωρηστικό ID Τιμολογίου"
"Issuer Liability","Ευθύνη Εκδότη"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","Συνιστάται να ορίσετε αυτήν την τιμή στο ""Χρεωστική ή Πιστωτική Κάρτα"" για κάθε όψη του καταστήματος."
"It is recommended to set this value to ""PayPal"" per store views.","Συνιστάται να ορίσετε αυτήν την τιμή στο ""PayPal"" για κάθε όψη του καταστήματος."
"Items in Your Shopping Cart","Προϊόντα στο Καλάθι σας"
"Last Correlation ID","ID Τελευταίας αντιστοιχίας"
"Last Transaction ID","ID Τελευταίας Συναλλαγής"
"Learn More","Μάθετε περισσότερα"
"Login","Σύνδεση"
"Mass Pay Payment","Καταβολή Μαζικής Πληρωμής"
"Matched (CVV2)","Αντιστοιχισμένα (CVV2)"
"Matched (CVV2CSC)","Αντιστοιχισμένα (CVV2CSC)"
"Matched Address only (no ZIP)","Αντιστοιχισμένη Διεύθυνση μόνο (όχι ο Ταχ, Κωδ.)"
"Matched Address only (no ZIP). International","Αντιστοιχισμένη Διεύθυνση μόνο (όχι ο Ταχ. Κωδ.). Διεθνή"
"Matched Postal Code only (no Address)","Αντιστοιχισμένος Ταχ. Κωδικός μόνο (όχι η Διεύθυνση)"
"Matched five-digit ZIP only (no Address)","Αντιστοιχισμένος 5-ψήφιος Ταχ. Κωδικός μόνο (όχι η Διεύθυνση)"
"Matched whole nine-didgit ZIP (no Address)","Αντιστοιχισμένος ολόκληρος ο 9-ψήφιος Ταχ. Κωδικός (όχι η Διεύθυνση)"
"Merchant Account","Λογαριασμός Εμπόρου"
"Merchant Country","Χώρα Εμπόρου"
"Merchant Liability","Εμπορική Ευθύνη"
"Merchant Location","Τοποθεσία Εμπόρου"
"Merchant Protection Eligibility","Επιλεξιμότητα Εμπορικής Προστασίας"
"Merchant Referral Bonus","Μπόνους Εμπορικών Παραπομπών"
"Merchant account doesn\'t have a withdrawal mechanism. Merchant must manually accept or deny this payment from your Account Overview.","Ο Εμπορικός Λογαριασμός δεν έχει μηχανισμό ανάληψης. Ο έμπορος πρέπει να αποδεχτεί ή να απορρίψει χειροκίνητα αυτή την πληρωμή, από την Επισκόπηση Λογαριασμού σας."
"Merchant account is not verified.","Ο εμπορικός λογαριασμός δεν είναι επαληθευμένος."
"Merchant denied this pending payment.","Ο έμπορος απέρριψε αυτή την εκκρεμούσα πληρωμή."
"Merchant holds a non-U.S. account and does not have a withdrawal mechanism.","Ο έμπορος τηρεί έναν μη-U.S. λογαριασμό και δεν έχει μηχανισμό ανάληψης."
"Merchant must upgrade account to Business or Premier status.","Ο έμπορος πρέπει να αναβαθμίσει την κατάσταση λογαριασμού σε Εμπορικό ή Κύριο / Business ή Premier."
"Merchant reference ID format is not supported.","Η μορφή του ID της εμπορικής αναφοράς, δεν υποστηρίζεται."
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","Οι έμποροι πρέπει να υποβάλλουν αίτηση στο PayPal για την ενεργοποίηση της δυνατότητας συμφωνιών χρέωσης. Μην ενεργοποιήσετε αυτή την επιλογή μέχρι το PayPal επιβεβαιώνει ότι οι συμφωνίες χρέωσης είναι ενεργοποιημένες για τον εμπορικό σας λογαριασμό."
"Mobile Payment (made via a mobile phone)","Πληρωμές Mobile (πραγματοποιούνται μέσω κινητής συσκευής)"
"Multi-currency issue. Merchant must manually accept or deny this payment from PayPal Account Overview.","Θέμα Πολλαπλών-Νομισμάτων. Ο έμπορος πρέπει να αποδεχτεί ή να απορρίψει χειροκίνητα αυτή την πληρωμή, από την Επισκόπηση Λογαριασμού PayPal."
"N/A","Μη διαθέσιμο"
"N/A. Address not checked, or acquirer had no response. Service not available","Μη διαθέσιμο. Η διεύθυνση δεν ελέγχθηκε, ή ο παραλαβών δεν ανταποκρίθηκε. Η υπηρεσία δεν είναι διαθέσιμη"
"N/A. Global Unavailable","Μη διαθέσιμο. Μη Διαθέσιμο Παγκοσμίως"
"N/A. International Unavailable","Μη διαθέσιμο.  Μη Διαθέσιμο Διεθνώς"
"N/A. Merchant has indicated that CVV2 is not present on card","Μη διαθέσιμο. Ο έμπορος έχει υποδείξει ότι το CVV2 δεν είναι εμφανιζόμενο στην κάρτα"
"N/A. No response","Μη διαθέσιμο. Χωρίς ανταπόκριση"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","Μη διαθέσιμο. Δεν επιτρέπεται για ΜΗΧΑΝΙΚΈΣ (μέσω Internet / Τηλεφωνικές) συναλλαγές."
"N/A. Not processed","Μη διαθέσιμο. Δεν Επεξεργάστηκε"
"N/A. Retry","Μη διαθέσιμο. Ξαναπροσπαθήστε"
"N/A. Service not Supported","Μη διαθέσιμο. Η Υπηρεσία δεν Υποστηρίζεται"
"N/A. Service not available","Μη διαθέσιμο. Η Υπηρεσία δεν είναι διαθέσιμη"
"N/A. Service not supported","Μη διαθέσιμο. Η υπηρεσία δεν υποστηρίζεται"
"N/A. The merchant did not provide AVS information","Μη διαθέσιμο. Ο έμπορος δεν παρέχει AVS -Andress Verification System- πληροφορίες"
"N/A. The merchant has not implemented CVV2 code handling","Μη διαθέσιμο. Ο έμπορος δεν έχει εφαρμόσει χειρισμό του κωδικού CVV2 "
"N/A. Unavailable","Μη διαθέσιμο. Μη διαθέσιμο"
"Near Bill Me Later checkout button","Πλήκτρο ολοκλήρωσης αγορών με Near Bill Me Later"
"Negative Balance","Αρνητικό Υπόλοιπο"
"Never","Ποτέ"
"No","Όχι"
"No Details matched","Λεπτομέρειες όχι αντιστοιχισμένες "
"No Details matched. International","Λεπτομέρειες όχι αντιστοιχισμένες. Διεθνής"
"No Liability Shift","Όχι Μετατόπιση Ευθύνης"
"No Logo","Όχι Λογότυπο "
"No match","Όχι αντιστοιχία "
"None of the address information matched","Καμία από τις πληροφορίες διεύθυνσης δεν ταίριαξαν"
"Not sure what PayPal payment method to use? Click <a href=""%s"" target=""_blank"">here</a> to learn more.","Δεν είστε σίγουροι ποια μέθοδο πληρωμής PayPal να χρησιμοποιήσετε; Πατήστε <a href=""%s"" target=""_blank"">εδώ</a> για να μάθετε περισσότερα."
"Note: %s","Σημείωση: %s"
"Nothing to fetch because of an empty configuration.","Δεν υπάρχει τίποτα να φέρει λόγω έλλειψης διαμόρφωσης."
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","Σημειώνεται ότι το PayPal μπορεί να χειριστεί μέχρι 10 επιλογές μεταφοράς. Αυτό επειδή, το Magento, θα μεταφέρει μόνο τις 10 φθηνότερες επιλογές μεταφοράς, αν υπάρχουν περισσότερες από 10 διαθέσιμες."
"Notified customer about creditmemo #%s.","Ειδοποιημένος πελάτης σχετικά με το πιστωτικό υπόμνημα #%s."
"Notified customer about invoice #%s.","Ειδοποιημένος πελάτης σχετικά με το τιμολόγιο #%s."
"Now accepting PayPal (150 X 40)","Τώρα αποδοχή PayPal (150 X 40)"
"Now accepting PayPal (150 X 60)","Τώρα αποδοχή PayPal (150 X 60)"
"Number of Child Authorizations","Αριθμός Θυγατρικών Εξουσιοδοτήσεων "
"Open Authorization","Ανοικτή Έγκρισης"
"Order","Παραγγελία"
"Order ID","Αριθμός ID Παραγγελίας"
"Order Valid Period (days)","Έγκυρη Περίοδος Παραγγελίας (ημέρες)"
"Ordered amount of %s.","Ποσό σε παραγγελία των %s."
"Ordering amount of %s is pending approval on gateway.","Το ποσό που παραγγέλθηκε των %s εκκρεμεί για έγκριση στη πύλη πληρωμής."
"Page Background Color","Χρώμα Φόντου Σελίδας"
"Page Style","Ύφος Σελίδας"
"Part of the address information matched","Τμήμα των πληροφοριών διεύθυνσης ταίριαξαν"
"Partner","Συνέταιρος "
"Pasarela integral","Αναπόσπαστη Διάβαση "
"Password","Κωδικός"
"PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","Όλα-σε-μία Λύσεις Πληρωμής PayPal&nbsp;&nbsp;<i>Αποδοχή και επεξεργασία πιστωτικών καρτών και πληρωμές PayPal.</i>"
"PayPal Balance Manager function of PayPal account","Λειτουργία Διαχείρισης Υπολοίπου PayPal του λογαριασμού PayPal "
"PayPal Billing Agreement Settings","Ρυθμίσεις Συμφωνιών Χρέωσης PayPal "
"PayPal Buyer Warranty Bonus","Μπόνους Εγγύησης Αγοραστή PayPal "
"PayPal Debit Card Cash Advance","Πίστωση Ρευστότητας Χρεωστικής Κάρτας PayPal "
"PayPal Debit Card Withdrawal from ATM","Ανάληψη με Χρεωστική Κάρτα PayPal από ATM"
"PayPal Express Checkout","Γρήγορη Ολοκλήρωση Αγορών PayPal "
"PayPal Express Checkout Shortcut Wrapper","Εμφάνιση Συντόμευσης, Γρήγορης Ολοκλήρωσης Αγορών PayPal"
"PayPal Express Checkout Token does not exist.","Το Διακριτικό Γρήγορης Ολοκλήρωσης Αγορών PayPal, δεν υπάρχει."
"PayPal Express Checkout is not enabled.","Η Γρήγορη Ολοκλήρωση Αγορών PayPal, δεν είναι ενεργοποιημένη."
"PayPal Express Checkout lets you give customers access to financing through Bill Me Later&#174; - at no additional cost to you.
                                        You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with Bill Me Later&#174;.
                                        <a href=""https://www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>
                                        ","Η Εξπρές Ολοκλήρωση Αγορών του PayPal, σας επιτρέπει να δώσετε πρόσβαση στους πελάτες να χρηματοδοτηθούν, μέσω της υπηρεσίας Bill Me Later&#174: - χωρίς επιπλέον κόστος για εσάς.
Εσείς προ-πληρώνεστε, ακόμα κι αν οι πελάτες έχουν περισσότερο χρόνο να πληρώσουν. Ένα προ-ενσωματωμένο πλήκτρο πληρωμής, επιτρέπει στους πελάτες να πληρώσουν γρήγορα, με την υπηρεσία Bill Me Later&#174:.
<a href=""https://www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Μάθετε Περισσότερα</a>
"
"PayPal Express Order Review Form","Φόρμα Εξπρές Ανασκόπησης Παραγγελίας PayPal "
"PayPal Fee Information","Πληροφορίες Χρέωσης PayPal "
"PayPal Merchant Pages Style","Ύφος Εμπορικών Σελίδων PayPal "
"PayPal Payment Gateways","Πύλες Πληρωμής PayPal "
"PayPal Payment Solutions","Λύσεις Πληρωμών PayPal "
"PayPal Pro","Επαγγ. PayPal "
"PayPal Product Logo","Λογότυπο Προϊόντος PayPal "
"PayPal Protection Bonus","Προστασία Μπόνους PayPal "
"PayPal Reference ID","ID Αναφοράς PayPal "
"PayPal Reference ID Type","Τύπος ID Αναφοράς PayPal "
"PayPal Settlement Reports","Αναφορές Εκκαθάρισης PayPal "
"PayPal certificate does not exist.","Το αποδεικτικό PayPal δεν υπάρχει."
"PayPal certificate file is empty.","Το αρχείο αποδεικτικού PayPal είναι άδειο."
"PayPal does not support processing orders with zero amount. To complete your purchase, proceed to the standard checkout process.","Το PayPal δεν υποστηρίζει την επεξεργασία παραγγελιών με μηδενικό ποσό. Για να ολοκληρώσετε την αγορά σας, συνεχίστε με την συνήθης  μέθοδο ολοκλήρωσης αγορών."
"PayPal gateway has rejected request. %s","Η πύλη του PayPal έχει απορρίψει την αίτηση. %s"
"PayPal recommends that you set up an additional User on your account at manager.paypal.com","Το PayPal συνιστά να ορίσετε έναν επιπλέον Χρήστη στον λογαριασμό σας, στο manager.paypal.com"
"PayPal recommends you set up an additional User on your account at manager.paypal.com, instead of entering your admin username and password here. This will enhance your security and prevent service interruptions if you later change your password. If you do not want to set up an additional User, you can re-enter your Merchant Login here.","Το PayPal σας συνιστά να ορίσετε έναν επιπλέον Χρήστη στον λογαριασμό σας, στο manager.paypal.com, αντί να εισάγετε όνομα χρήστη διαχειριστή και τον κωδικό πρόσβασης σας εδώ. Αυτό θα ενισχύσει την ασφάλεια και την πρόληψη της διακοπής της υπηρεσίας, εάν αργότερα αλλάξετε τον κωδικό πρόσβασής σας. Εάν δεν θέλετε να δημιουργηθεί ένας πρόσθετος Χρήστης, μπορείτε να εισαγάγετε πάλι την Εμπορική σας Σύνδεση εδώ."
"PayPal response hasn't required fields.","Η απάντηση του PayPal, δεν έχει τα απαιτούμενα πεδία."
"PayPal retains reports for 45 days.","Το PayPal διατηρεί αναφορές για 45 ημέρες."
"PayPal/Centinel Electronic Commerce Indicator","Δείκτης PayPal / Centinel Electronic Commerce"
"PayPal/Centinel Visa Payer Authentication Service Result","Αποτέλεσμα Υπηρεσίας Πιστοποίησης Πληρωτή PayPal / Centinel Visa "
"Payer Address ID","ID Διεύθυνσης Πληρωτή"
"Payer Address Status","Κατάσταση Διεύθυνσης Πληρωτή"
"Payer Email","Email Πληρωτή"
"Payer ID","ID Πληρωυή"
"Payer Status","Κατάσταση Πληρωτή"
"Payer is not identified.","Ο Πληρωτής δεν αναγνωρίζεται."
"Payflow Link","Σύνδεσμος Ροής Πληρωμής Payflow "
"Payflow Link (Includes Express Checkout)","Σύνδεσμος Ροής Πληρωμής Payflow (Περιλαμβάνει Εξπρές Ολοκλήρωση Αγορών)"
"Payflow Pro","Επαγγ. Σύνδεσμος Ροής Πληρωμής Payflow Pro"
"Payflow Pro (Includes Express Checkout)","Επαγγ. Σύνδεσμος Ροής Πληρωμής Payflow Pro (Περιλαμβάνει Εξπρές Ολοκλήρωση Αγορών)"
"Payflow Pro and Express Checkout","Επαγγ. Σύνδεσμος Ροής Πληρωμής Payflow Pro και Εξπρές Ολοκλήρωση Αγορών"
"Payment Action","Ενέργεια Πληρωμής"
"Payment Applicable From","Η Πληρωμή Ισχύει Από"
"Payment Refund initiated by merchant","Η Επιστροφή Πληρωμής που κινήθηκε από τον έμπορο "
"Payment has been declined. Please try again.","Η πληρωμή έχει απορριφθεί. Παρακαλούμε, προσπαθήστε ξανά."
"Payment is being reviewed by PayPal for risk.","Η πληρωμή αξιολογείται από το PayPal για τυχόν ρίσκο."
"Payment Method","Μέθοδος Πληρωμής"
"Payment transactions disallow storing objects.","Οι πράξεις πληρωμής απορρίπτουν την αποθήκευση αντικειμένων."
"Payment was made to an email address that is not yet registered or confirmed.","Η πληρωμή πραγματοποιήθηκε σε μία διεύθυνση που δεν είναι ακόμα εγγεγραμμένη ή επαληθευμένη."
"Payments Advanced","Πληρωμές για Προχωρημένους"
"Payments Advanced (Includes Express Checkout)","Πληρωμές για Προχωρημένους (Περιλαμβάνουν Εξπρές Ολοκλήρωση Αγορών)"
"Payments Pro (Includes Express Checkout)","Επαγγ. Πληρωμές (Περιλαμβάνουν Εξπρές Ολοκλήρωση Αγορών)"
"Payments Pro Hosted Solution","Hosted Solution Επαγγ. Πληρωμών"
"Payments Pro and Express Checkout","Επαγγ. Πληρωμές και Εξπρές Ολοκλήρωση Αγορών"
"Payments Standard","Συνήθης Πληρωμές "
"Payments by PayPal (150 X 40)","Πληρωμές μέσω PayPal (150 X 40)"
"Payments by PayPal (150 X 60)","Πληρωμές μέσω PayPal (150 X 60)"
"Pending PayPal","Σε Αναμονή PayPal"
"Place Order","Κάντε Παραγγελία"
"Please agree to all the terms and conditions before placing the order.","Παρακαλούμε, συμφωνήστε με όλους τους όρους και τις συνθήκες προτού κάνετε την παραγγελία σας."
"Please contact PayPal Customer Service.","Παρακαλούμε επικοινωνήστε με την Εξυπηρέτηση Πελατών PayPal."
"Please do not refresh the page until you complete payment.","Παρακαλούμε μην ανανεώσετε τη σελίδα, μέχρι να ολοκληρώσετε την πληρωμή."
"Please re-enable the previously enabled payment solutions.","Παρακαλούμε ανανεώστε ξανά τις προηγούμενες ενεργοποιημένες λύσεις πληρωμής."
"Please select a shipping method...","Παρακαλούμε επιλέξτε μια μέθοδο αποστολής..."
"Please select region, state or province","Παρακαλούμε επιλέξτε νομό ή επαρχία"
"Please update order data to get shipping methods and rates","Παρακαλούμε ενημερώστε τα δεδομένα της παραγγελίας για να λάβετε μεθόδους αποστολής και χρεώσεις"
"Points Incentive Redemption","Πόντοι Κινήτρων Ρευστοποίησης"
"Position","Θέση"
"Postage Payment to either USPS or UPS","Ταχυδρομική Πληρωμή, είτε στην USPS ή UPS"
"Preapproved Payment (BillUser API), either sent or received","Προεγκεκριμένη Πληρωμή (BillUser API), είτε απεσταλμένη ή λαμβανόμενη"
"Preapproved Payment ID","ID Προεγκεκριμένης Πληρωμής"
"Price","Τιμή"
"Pro","Επαγγ."
"Process payments using your own internet merchant account.","Επεξεργασία πληρωμών χρησιμοποιώντας το δικό σας διαδικτυακό λογαριασμό εμπόρου."
"Product","Προϊόν"
"Product Name","Όνομα Προϊόντος"
"Proxy Host","Proxy Host"
"Proxy Port","Θύρα Proxy"
"Publisher ID","ID Εκδότη"
"Qty","Ποσ."
"Reauthorization","Επανέγκριση"
"Reference Information","Πληροφορίες Αναφοράς"
"Reimbursement for a chargeback.","Αποζημίωση για επιστροφή χρέωσης. "
"Reimbursement of Chargeback","Αποζημίωση Επιστροφής Χρέωσης"
"Report Date","Ημ/νία Αναφοράς"
"Reports","Αναφορές"
"Requested %s and configured %s merchant emails do not match.","Τα ζητούμενα %s και διαμορφωμένα %s εμπορικά emails, δεν ταιριάζουν. "
"Require CVV Entry","Υποχρεωτική Εισαγωγή CVV "
"Require Customer's Billing Address","Υποχρεωτική Διεύθυνση Χρέωσης Πελάτη "
"Required PayPal Settings","Υποχρεωτικές Ρυθμίσεις PayPal "
"Required Settings","Υποχρεωτικές Ρυθμίσεις"
"Required to display a banner","Απαραίτητα, για να εμφανιστεί ένα banner"
"Reversal","Αντιλογισμός"
"Reversal of General Account Hold","Αντιλογισμός της Κράτησης Γενικού Λογαριασμού"
"Reversal of Points Usage","Αντιλογισμός Χρησιμοποιημένων Πόντων"
"Reversal of an adjustment.","Αντιλογισμός μιας προσαρμογής."
"Reversal of hold for Dispute Investigation","Αντιλογισμός μιας Κράτησης για Διερεύνηση Διαφορών"
"Review Order","Ανασκόπηση Παραγγελίας"
"Reward Voucher Redemption","Ανταμοιβή Ρευστοποίησης Ειδικού Κουπονιού"
"SFTP Credentials","Πιστοποιητικά SFTP "
"Sale","Πωλήσεις"
"Sales","Πωλήσεις"
"Same as shipping","Ίδιο όπως απεστάλη "
"Sandbox Credentials","Πιστοποιητικά Sandbox "
"Sandbox Mode","Λειτουργία Sandbox "
"Schedule","Πρόγραμμα"
"Schedule description is too long.","Η Περιγραφή Προγράμματος είναι πολύ μεγάλη."
"Scheduled Fetching","Προγραμματισμένες Λήψεις"
"Select a Payment Solution","Επιλογή μιας Λύσης Πληρωμής"
"Send Email Confirmation","Αποστολή Επιβεβαίωσης του Email "
"Server Error. Please try again.","Λάθος Εξυπηρετητή. Παρακαλούμε προσπαθήστε ξανά."
"Settlement Consolidation","Εμπέδωση Εκκαθάρισης"
"Settlement Report Settings","Ρυθμίσεις Αναφοράς Εκκαθάρισης"
"Settlement of a chargeback.","Εκκαθάριση μιας Επιστροφής Χρέωσης"
"Severe 3D Secure Card Validation","Αυστηρή 3D Ασφάλεια Ελέγχου Κάρτας"
"Severe Validation Removes Chargeback Liability on Merchant","Η Αυστηρή Έγκριση Αφαιρεί από τον Έμπορο την Επιβάρυνση Τελών λόγω Ακύρωσης Χρέωσης"
"Severe validation removes chargeback liability on merchant.","Η αυστηρή έγκριση αφαιρεί από τον έμπορο την επιβάρυνση τελών λόγω ακύρωσης χρέωσης"
"Shipping","Αποστολή Παραγγελίας"
"Shipping Address","Διεύθυνση Αποστολής"
"Shipping Information","Πληροφορίες Αποστολής"
"Shipping Method","Μέθοδος Αποστολής"
"Shop now using (150 X 40)","Το κατάστημα χρησιμοποιεί τώρα (150 X 40)"
"Shop now using (150 X 60)","Το κατάστημα χρησιμοποιεί τώρα (150 X 60)"
"Shortcut","Συντόμευση"
"Shortcut Buttons Flavor","Αγαπημένα Πλήκτρα Συντόμευσης"
"Shortcut on Product View","Συντόμευση στην Εμφάνιση Προϊόντος"
"Shortcut on Shopping Cart","Συντόμευση στο Καλάθι Αγορών"
"Sidebar (right)","Διπλανή στήλη (δεξιά)"
"Sign a billing agreement to streamline further purchases with PayPal.","Υπογραφή μιας συμφωνίας χρέωσης για τον περαιτέρω εξορθολογισμό των αγορών με PayPal."
"Size","Μέγεθος"
"Skip Order Review Step","Παράλειψη του βήματος της Ανασκόπησης Παραγγελίας"
"Solo","Μεμονωμένο  "
"Some PayPal solutions conflict.","Κάποιες από τις λύσεις PayPal διίστανται."
"Sorry, no quotes are available for this order at this time.","Συγγνώμη. Δεν υπάρχουν παραθέσεις για αυτό το προϊόν προς το παρόν."
"Sort Order","Κανόνας Ταξινόμησης"
"Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Καθορίζει ποια η Εξουσιοδότηση Περιόδου Τιμής είναι στον λογαριασμό PayPal του εμπόρου. Θα πρέπει να αντικατοπτρίζει το περιβάλλον στο PayPal."
"Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Καθορίζει ποια η Έγκυρη Περίοδος Παραγγελίας είναι στον λογαριασμό PayPal του εμπόρου. Θα πρέπει να αντικατοπτρίζει το περιβάλλον στο PayPal."
"State/Province","Νομός/Δήμος"
"Static","Στατικό"
"Street Address","Διεύθυνση"
"Street Address %s","Διεύθυνση %s"
"Submitting order information...","Υποβολή στοιχείων παραγγελίας..."
"Subscriber name is too long.","Το όνομα του συνδρομητή είναι πολύ μεγάλο."
"Subscription ID","Αναγνωριστικό ID Συνδρομής"
"Subscription Payment, either payment sent or payment received","Πληρωμή Συνδρομής, είτε απεσταλμένη πληρωμή ή λαμβανόμενη πληρωμή"
"Subtotal","Μερικό Σύνολο"
"Summary Text for Aggregated Cart","Περιληπτικό Κείμενο για Συσσωμάτωση Καλαθιού"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Υποστηρίζοντας τις κάρτες American Express απαιτείται πρόσθετη συμφωνία. Μάθετε σχετικά στο <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate<"
"Switch/Maestro","Αλλαγή / Maestro"
"Telephone","Τηλέφωνο"
"Test Mode","Σε δοκιμή"
"The background color for the checkout page around the header and payment form.","Το χρώμα του φόντου για την σελίδα ολοκλήρωσης αγορών, γύρω από την κεφαλίδα και την φόρμα πληρωμής."
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","Το χρώμα του φόντου για την σελίδα ολοκλήρωσης αγορών. Έξι-χαρακτήρων HTML χωρίς διάκριση πεζών-κεφαλαίων, δεκαεξαδικό κωδικό χρώματος σε ASCII."
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","Ο προκαθορισμένος αριθμός θυγατρικών εξουσιοδοτήσεων στον λογαριασμό σας στο PayPal, είναι 1. Για να κάνετε πολλαπλές εξουσιοδοτήσεις, παρακαλούμε επικοινωνήστε με το PayPal, για να αιτηθείτε την αύξηση."
"The following error(s) occured:","Το/Τα παρακάτω σφάλμα(τα) προέκυψε/αν:"
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","Η εικόνα, πάνω αριστερά της σελίδας ολοκλήρωσης αγορών. Μεγ. διαστάσεις είναι 750x90-pixel. <strong style=""color:red"">https</strong>είναι ιδιαίτερα ενθαρρυντική."
"The maximum number of child authorizations is reached.","Ο μέγιστος αριθμός των θυγατρικών εξουσιοδοτήσεων έχει καλυφθεί."
"The merchant account is not yet verified.","Ο εμπορικός λογαριασμός, δεν έχει ακόμα επαληθευτεί."
"The payment curency does not match any of the merchant\'s balances currency.","Το νόμισμα πληρωμής, δεν ταιριάζει με κανένα νομισματικό υπόλοιπο του εμπόρου."
"The payment eCheck is not yet cleared.","Η ηλεκτρονική-Επιταγή Πληρωμής, δεν είναι ακόμα εκκαθαρισμένη."
"The payment is authorized but not settled.","Η πληρωμή είναι εξουσιοδοτημένη αλλά όχι διευθετημένη. "
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","Η πληρωμή εκκρεμεί, επειδή πραγματοποιήθηκε σε μία διεύθυνση που δεν είναι ακόμα εγγεγραμμένη ή επαληθευμένη."
"The payment is pending while it is being reviewed by PayPal for risk.","Η πληρωμή εκκρεμεί, όσο αξιολογείται από το PayPal για τυχόν ρίσκο."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","Η πληρωμή πραγματοποιήθηκε μέσω πιστωτικής κάρτας. Για να λάβετε τα κεφάλαια, ο έμπορος πρέπει να αναβαθμίσει την κατάσταση λογαριασμού σε Εμπορικό ή Κύριο / Business ή Premier"
"There is already another PayPal solution enabled. Enable this solution instead?","Υπάρχει ήδη ενεργοποιημένη μία άλλη λύση PayPal. Θέλετε να ενεργοποιήσετε αυτή τη λύση αντί της άλλης;"
"There was an error processing your order. Please contact us or try again later.","Υπήρξε ένα σφάλμα κατα την επεξεργασία της παραγγελίας σας. Παρακαλούμε επικοινωνήστε μαζί μας ή δοκιμάστε ξανά αργότερα."
"This feature needs be enabled first for the merchant account through PayPal technical support.","Αυτή η δυνατότητα χρειάζεται να ενεργοποιηθεί πρώτα για τον εμπορικό λογαριασμό, μέσω της τεχνικής υποστήριξης του PayPal."
"This operation requires an existing transaction object.","Αυτή η λειτουργία απαιτεί ένα υπάρχων αντικείμενο συναλλαγής."
"Time of Day","Ώρα της Ημέρας"
"Title","Τίτλος"
"To proceed to Checkout, please log in using your email address.","Για να προχωρήσετε στο Ταμείο, παρακαλώ συνδεθείτε χρησιμοποιώντας τη διεύθυνση ηλεκτρονικού ταχυδρομείου σας."
"Transaction ID","Κωδικός ID Συναλλαγής"
