"# of Use","# χρήσης"
"%1$s incl tax.","%1$s συμπ.φόρου."
"%s - %s","%s - %s"
"%s Item(s)","%s Προϊόν(τα)"
"%s-%s of %s","%s-%s από %s"
"%s and above","%s και πάνω"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Αντικείμενα τα οποία δεν επιθυμείτε να εμφανίζονται στον κατάλογο ή στα αποτελέσματα αναζήτησης πρέπει να έχουν ως κατάσταση 'Απενεργοποιημένο' στο ζητούμενο κατάστημα."
"Keep your eyes open for our special Back to School items and save A LOT!","Να παρακολουθείτε τις προσφορές ""Επιστροφή στα Θρανία"" και ΚΕΡΔΙΣΤΕ!"
"Label","Ετικέτα"
"Last Name","Επίθετο"
"Last Notification","Τελευταία Ειδοποίηση"
"Layered Navigation","Πλοήγηση με Επίπεδα"
"Learn More","Μάθετε περισσότερα"
"Line %d, Email: %s","Γραμμή %d, Email: %s"
"Line %d, SKU: %s","Γραμμή %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Σύνδεσμος (Σχετικά Προϊόντα, Προτεινόμενα Προϊόντα, Σχετιζόμενες Πωλήσεις)"
"Link product does not exist.","Ο σύνδεσμος προϊόντος δεν υπάρχει."
"Link to a Specified Category","Ο σύνδεσμος σε Καθορισμένη Κατηγορία"
"Link to a Specified Product","Ο σύνδεσμος σε Καθορισμένο Προϊόν"
"List","Λίστα"
"List Mode","σε Λίστα"
"List of Products that are set as New","Λίστα Προϊόντων που έχουν τεθεί ως Νέα"
"List of types","Λίστα των τύπων"
"Manage Attribute Sets","Διαχείριση Συνόλου Χαρακτηριστικών"
"Manage Attributes","Διαχείριση Χαρακτηριστικών"
"Manage Catalog Categories","Διαχείριση Κατηγοριών Καταλόγου"
"Manage Categories","Διαχείριση Κατηγοριών"
"Manage Label / Options","Διαχείριση Ετικετών / Επιλογών"
"Manage Options (values of your attribute)","Διαχείριση Επιλογών (τιμές των χαρακτηριστικών σας)"
"Manage Product Attributes","Διαχείριση Χαρακτηριστικών Προϊόντων"
"Manage Product Sets","Διαχείριση Συνόλων Προϊόντων"
"Manage Products","Διαχείριση Προϊόντων"
"Manage Stock","Διαχείριση Αποθέματος"
"Manage Titles (Size, Color, etc.)","Διαχείριση Τίτλων (Μέγεθος, Χρώμα, κλπ.)"
"Max Characters","Μέγ. Χαρακτήρες"
"Maximal Depth","Μέγιστο Βάθος"
"Maximum Image Size","Μέγιστο Μέγεθος Εικόνας"
"Maximum Number of Price Intervals","Μέγιστος Αριθμός Διαστημάτων Τιμών"
"Maximum Qty Allowed in Shopping Cart","Μέγιστη Ποσ. που Επιτρέπεται στο Καλάθι Αγορών"
"Maximum allowed image size for '%s' is %sx%s px.","Μέγιστο επιτρεπόμενο μέγεθος εικόνας για '%s' είναι %sx%s px."
"Maximum image height","Μέγιστο ύψος εικόνας"
"Maximum image width","Μέγιστο πλάτος εικόνας"
"Maximum number of characters:","Μέγιστος αριθμός χαρακτήρων:"
"Maximum number of price intervals is 100","Μέγιστος αριθμός διαστημάτων τιμών είναι 100"
"Media Image","Εικόνα Μέσων"
"Minimum Advertised Price","Ελάχιστη Διαφημιζόμενη Τιμή"
"Minimum Lines per Page","Ελάχιστες Γραμμές ανά Σελίδα"
"Minimum Qty Allowed in Shopping Cart","Ελάχιστη Ποσ. που Επιτρέπεται στο Καλάθι Αγορών"
"Minimum Qty for Item\'s Status to be Out of Stock","Ελάχιστη Ποσ. για Κατάσταση Είδους\ών να είναι Εκτός Αποθέματος"
"Missing SKU, skipping the record.","Ελλιπής SKU, παρακάμπτεται η εγγραφή."
"More Views","Περισσοτερες Οψεις"
"Move","Μετακίνηση"
"Move category in tree","Μετακίνηση κατηγορίας στο σχεδιάγραμμα-δέντρο"
"Multi update product","Πολλαπλή ενημέρωση προϊόντος"
"Must be in the allowed values list.","Πρέπει να είναι στην λίστα επιτρεπόμενων τιμών."
"My Account","Ο Λογαριασμός μου"
"N/A","Μη Διαθέσιμο"
"Name","Όνομα"
"Name in %s","Όνομα σε %s"
"New Product","Νέο Προϊόν"
"New Product Attribute","Νέο Χαρακτηριστικό Προϊόντος"
"New Products","Νέα Προϊόντα"
"New Products Grid Template","Πρότυπο(Template) Πλέγμα Νέων Προϊόντων"
"New Products List Template","Πρότυπο(Template) Πλέγμα Λίστας Νέων Προϊόντων"
"New Root Category","Νέα Βασική Κατηγορία"
"New Search","Νέα Αναζήτηση"
"New Set Name","Νέο Όνομα Συνόλου"
"New Subcategory","Νέα Υποκατηγορία"
"New products","Νέα προϊόντα"
"Next","Επόμενο"
"No","Όχι"
"No image","Καμία Εικόνα"
"No layout updates","Καμία ενημέρωση διάταξης"
"No options of this product are available.","Καμία από τις επιλογές αυτού του προϊόντος δεν είναι διαθέσιμη."
"No product collections found.","Δεν βρέθηκαν συλλογές προϊόντων."
"None","Κανένα"
"Not Visible Individually"," Μη Ορατό Μεμονωμένα"
"Notify Low Stock RSS","RSS Ειδοποίησης Χαμηλού Αποθέματος"
"Notify for Quantity Below","Ειδοποίηση όταν η ποσότητα πέσει κάτω από"
"Number of Products per Page","Αριθμός Προϊόντων ανά Σελίδα"
"Number of Products to Display","Αριθμός Προϊόντων για Εμφάνιση"
"Number of Uses","Αριθμός χρήσεων"
"Number of results","Αριθμός αποτελεσμάτων"
"Number of results (For the last time placed)","Αριθμός αποτελεσμάτων (Τοποθετημένα για τελευταία φορά)"
"OK","Εντάξει"
"OR","Ή"
"Old Price:","Παλαιά τιμή:"
"On Gesture","Στην Εκκίνηση"
"Option validation failed to add product to cart.","Οι επιλογές ελέγχου απέτυχαν να προσθέσουν προϊόν στο καλάθι."
"Option values","Επιλεκτικές τιμές"
"Option:","Επιλογή:"
"Options","Επιλογές"
"Options Control","Έλεγχος Επιλογών"
"Options is required","Οι Επιλογές Απαιτούνται"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Το service προϊόντων για τους πελάτες είναι διαθέσιμο καθημερινά από τις 9:00 έως τις 13:00. Καλέστε μας στο (+30) 210 4315 075."
"Out of Stock","Εκτός Αποθέματος"
"Out of stock","Εκτός αποθέματος"
"PM","ΜΜ"
"Page Title Separator","Διαχωριστικό Τίτλου Σελίδας"
"Parent Category","Κατηγορία Γονέας"
"Pending","Εκκρεμεί"
"Pending Reviews RSS","RSS Αξιολογήσεων που Εκκρεμούν"
"Percentage","Ποσοστό"
"Please add rows to option.","Παρακαλώ προσθέστε γραμμές για την επιλογή."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Παρακαλούμε να είστε προσεκτικοί, όπως όταν κάνετε κλικ στη γραμμή που θα φορτώσει τα δεδομένα πακέτου από το επιλεγμένο αρχείο και όλα τα μη αποθηκευμένα δεδομένα φόρμας θα χαθούν."
"Please click on the Close Window button if it is not closed automatically.","Παρακαλούμε κάνετε κλικ στο πλήκτρο Κλείσιμο Παραθύρου. αν αυτό δεν κλείσει αυτόματα."
"Please enter a new group name","Παρακαλούμε εισάγετε ένα νέο όνομα ομάδας"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Παρακαλούμε ανανεώστε τα ""Κατάλογος Ξαναεγγραμμένων URL"" και ""Χαρακτηριστικά Προϊόντος"" στο Σύστημα -&gt; <a href=""%s"">Διαχείριση Ευρετηρίου</a>"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Παρακαλούμε ανανεώστε τα ""Κατάλογος Ξαναεγγραμμένων URL"" και ""Χαρακτηριστικά Προϊόντος"" στο Σύστημα -> <a href=""%s"">Διαχείριση Ευρετηρίου</a>"
"Please refresh ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Παρακαλούμε ανανεώστε το ""Χαρακτηριστικά Προϊόντος"" στο Σύστημα -&gt; <a href=""%s"">Διαχείριση Ευρετηρίου</a>"
"Please select a static block ...","Παρακαλούμε επιλέξτε στατικό τμήμα ..."
"Please select items.","Παρακαλούμε επιλέξτε είδη."
"Please select one or more attributes.","Παρακαλούμε επιλέξτε ένα ή περισσότερα χαρακτηριστικά."
"Please select product(s).","Παρακαλούμε επιλέξτε προϊόν(τα)"
"Please select products for attributes update","Παρακαλούμε επιλέξτε προϊόντα για ενημέρωση χαρακτηριστικών"
"Please set up merge date/time","Παρακαλούμε δημιουργήστε σύνδεση ημερομηνίας/χρόνου"
"Please set up merge date/time later then present date","Παρακαλούμε δημιουργήστε σύνδεση ημερομηνίας/χρόνου αργότερα από τη σημερινή ημερομηνία"
"Please specify date required option(s).","Παρακαλούμε καθορίστε υποχρεωτικές επιλογές(-η) ημερομηνίας."
"Please specify the number of products, that will not be divided into subintervals.","Παρακαλούμε καθορίστε τον αριθμό των προϊόντων, που δε θα διαιρούνται σε υποδιαστήματα."
"Please specify the product required option(s)","Παρακαλούμε καθορίστε τις υποχρεωτικές επιλογές(-η) προϊόντος."
"Please specify the product required option(s).","Παρακαλούμε καθορίστε τις υποχρεωτικές επιλογές(-η) προϊόντος."
"Please specify the product\'s option(s).","Παρακαλούμε καθορίστε τις επιλογές(-η) προϊόντος\-ων."
"Please specify the product\'s required option(s).","Παρακαλούμε καθορίστε τις υποχρεωτικές επιλογές(-η) προϊόντος\-ων."
"Please specify the quantity of product(s).","Παρακαλούμε καθορίστε την ποσότητα προϊόντος(ων)."
"Please specify time required option(s).","Παρακαλούμε καθορίστε υποχρεωτικές επιλογές(-η) χρόνου."
"Please wait...","Παρακαλούμε περιμένετε..."
"Position","Θέση"
"Position in Layered Navigation","Θέση στη Πλοήγηση με Επίπεδα"
"Position of attribute in layered navigation block","Θέση χαρακτηριστικού στο τμήμα πλοήγησης με Layers"
"Prev","Προηγ"
"Previous","Προηγούμενο"
"Price","Τιμή"
"Price Navigation Step Calculation","Υπολογισμός Βήματος Πλοήγησης Τιμής"
"Price Type","Τύπος Τιμής"
"Price is not available","Η τιμή δεν είναι διαθέσιμη"
"Price values for options should be specified in system base currency.","Οι τιμές των αξιών στις επιλογές θα πρέπει να καθορίζονται στο βασικό νόμισμα του συστήματος."
"Price:","Τιμή:"
"Price: %s","Τιμή: %s"
"Print This Page","Εκτύπωση Αυτής της Σελίδας"
"Product","Προϊόν"
"Product API","Προϊόν API"
"Product Alerts","Ειδοποιήσεις για Προϊόντα"
"Product Attribute","Χαρακτηριστικό Προίόντος"
"Product Attributes","Χαρακτηριστικά Προϊόντος"
"Product Categories","Κατηγορίες Προϊόντος"
"Product Description","Περιγραφή Προϊόντος"
"Product Extra Info","Επιπλέον Πληροφ. Προϊόντος"
"Product Flat Data","Πάγια Δεδομένα Προϊόντος"
"Product ID","ID Προϊόντος"
"Product Image Placeholders","Θέση Εικόνας Προϊόντος"
"Product Image Watermarks","Θέση Εικόνας Υδατογραφήματος"
"Product Images","Εικόνες Προϊόντος"
"Product Images API","Εικόνες Προϊόντος API"
"Product In Websites","Προϊόν σε Ιστότοπους"
"Product Info Column","Στήλη Πληροφ. Προϊόντος"
"Product Information","Πληροφορίες Προϊόντος"
"Product Link Block Template","Πρότυπο(Template) Τμήματος Συνδέσμου Προϊόντος"
"Product Link Inline Template","Πρότυπο(Template) Σειράς Συνδέσμου Προϊόντος"
"Product Listing Sort by","Ταξινόμηση Προϊόντος κατά"
"Product Name","Όνομα Προϊόντος"
"Product Prices","Τιμές Προϊόντος"
"Product Reviews","Αξιολογήσεις για το Προϊόν"
"Product Tags","Ετικέτες Προϊόντος"
"Product Tier Price API","Πολλαπλή Τιμή Προϊόντος API "
"Product Type","Τύπος Προϊόντος"
"Product URL Suffix","Επίθεμα URL Προϊόντος"
"Product View Extra Hint","Έξτρα Στοιχείο Εμφάνισης Προϊόντος"
"Product attribute sets API","Σύνολο API Χαρακτηριστικών Προϊόντος"
"Product attributes API","Χαρακτηριστικά API Προϊόντος"
"Product collection expected.","Η συλλογή του προϊόντος αναμένεται."
"Product is not loaded","Το προϊόν δεν φορτώθηκε"
"Product links API (related, cross sells, up sells)","Σύνδεσμοι API Προϊόντος (Σχετικά Προϊόντα, Προτεινόμενα Προϊόντα, Σχετιζόμενες Πωλήσεις)"
"Product types API","Τύποι API Προϊόντος"
"Product with this combination of attributes already associated to configurable.","Προϊόν με αυτόν το συνδυασμό χαρακτηριστικών, είναι ήδη συνδεμένα σε ένα διαμορφώσιμο."
"Products","Προϊόντα"
"Products Comparison List","Λίστα Σύγκρισης Προϊόντων"
"Products Information","Πληροφορίες Προϊόντων"
"Products Reviews","Αξιολογήσεις για Προϊόντα"
"Products Sitemap","Χάρτης ιστοχώρου Προϊόντων"
"Products only","Μόνο Προϊόντα"
"Products per Page on Grid Allowed Values","Προϊόντα ανά Σελίδα στο Πλέγμα Επιτρεπόμενων Τιμών"
"Products per Page on Grid Default Value","Προϊόντα ανά Σελίδα στο Πλέγμα Προκαθορισμένων Τιμών"
"Products per Page on List Allowed Values","Προϊόντα ανά Σελίδα στη Λίστα Επιτρεπόμενων Τιμών"
"Products per Page on List Default Value","Προϊόντα ανά Σελίδα στη Λίστα Προκαθορισμένων Τιμών"
"Properties","Ιδιότητες"
"Qty","Ποσ."
"Qty Increments","Προσαύξηση Ποσ."
"Qty Uses Decimals","Στη Ποσ. χρησιμοποιούνται δεκαδικά"
"Qty for Item\'s Status to Become Out of Stock","Ποσ. για Κατάσταση Είδους\ων για να γίνεται Εκτός Αποθέματος"
"Qty:","Ποσ:"
"Quantity","Ποσότητα"
"Quick Create","Γρήγορη Δημιουργία"
"Quick Overview","Γρήγορη Επισκόπηση"
"Quick simple product creation","Γρήγορη δημιουργία απλού προϊόντος"
"Records for ""%s"" store found.","Βρέθηκαν εγγραφές για ""%s"" κατάστημα."
"Redirect","Ανακατεύθυνση"
"Redirect URL","URL Ανακατεύθυνσης"
"Regular Price:","Κανονική Τιμή:"
"Related Products","Σχετικα Προϊοντα"
"Remove","Αφαίρεση"
"Remove Product From Websites","Αφαίρεση Προϊόντος από Ιστότοπους"
"Remove This Item","Αφαίρεση Αυτού του Είδους"
"Remove attribute from attribute set","Αφαίρεση χαρακτηριστικού από το σύνολο χαρακτηριστικών"
"Remove attribute set","Αφαίρεση σύνολου χαρακτηριστικών"
"Remove custom option","Αφαίρεση προσαρμοσμένης επιλογής"
"Remove group from attribute set","Αφαίρεση ομάδας από σύνολο χαρακτηριστικών"
"Remove option","Αφαίρεση επιλογής"
"Remove product assignment","Αφαίρεση εκχώρησης προϊόντος"
"Remove product image","Αφαίρεση εικόνας προϊόντος"
"Remove product link","Αφαίρεση συνδέσμου προϊόντος"
"Remove value from custom option","Αφαίρεση τιμής από προσαρμοσμένη επιλογή"
"Rename existing group","Μετονομασία υπάρχουσας ομάδας"
"Rename group","Μετονομασία ομάδας"
"Reorganize EAV category structure to flat structure","Αναγνώριση δομής κατηγορίας Οντ-Χαρακτ-Αξία EAV ως ενιαίας δομής"
"Reorganize EAV product structure to flat structure","Αναγνώριση δομής προϊόντος Οντ-Χαρακτ-Αξία EAV ως ενιαίας δομής"
"Reset","Reset"
"Results","Αποτελέσματα"
"Results per page","Αποτελέσματα ανά σελίδα"
"Retrieve attribute data","Ανάκτηση δεδομένων διεύθυνσης"
"Retrieve attribute list","Ανάκτηση λίστας χαρακτηριστικών"
"Retrieve attribute options","Ανάκτηση επιλογές χαρακτηριστικού"
"Retrieve categories tree","Ανάκτηση σχεδιάγραμμα-δέντρο κατηγοριών"
"Retrieve category attributes","Ανάκτηση χαρακτηριστικά κατηγοριών"
"Retrieve category data","Ανάκτηση δεδομένα κατηγοριών"
"Retrieve hierarchical tree","Ανάκτηση ιεραρχικού σχεδιαγράμματος-δέντρου"
"Retrieve linked products","Ανάκτηση συνδεδεμένων προϊόντων"
"Retrieve list of assigned products","Ανάκτηση λίστας των εκχωρημένων προϊόντων"
"Retrieve list of option values","Ανάκτηση λίστας των επιλεκτικών τιμών"
"Retrieve list of product custom options","Ανάκτηση λίστας των προσαρμοσμένων επιλογών προϊόντων"
"Retrieve one level of categories by website/store view/parent category","Ανάκτηση ενός επιπέδου κατηγοριών από τον ιστότοπο / όψη καταστήματος / μητρική κατηγορία"
"Retrieve option value info","Ανάκτηση πληροφορίας εναλλακτικής τιμής"
"Retrieve product","Ανάκτηση προϊόντος"
"Retrieve product attribute sets","Ανάκτηση συνόλου χαρακτηριστικών προϊόντος"
"Retrieve product image","Ανάκτηση εικόνας προϊόντος"
"Retrieve product image list","Ανάκτηση λίστα εικόνων προϊόντος"
"Retrieve product image types","Ανάκτηση τύπων εικόνας προϊόντος"
"Retrieve product link type attributes","Ανάκτηση συνδέσμου τύπου χαρακτηριστικών προϊόντος"
"Retrieve product link types","Ανάκτηση τύπων συνδέσμου προϊόντος"
"Retrieve product tier prices","Ανάκτηση πολλαπλών τιμών προϊόντος"
"Retrieve product types","Ανάκτηση τύπων προϊόντος"
"Retrieve products data","Ανάκτηση δεδομένων προϊόντος"
"Retrieve products list by filters","Ανάκτηση λίστας προϊόντων με φίλτρα"
"Reviews","Αξιολογήσεις"
"Roll Over for preview","Βάλτε το κέρσορα από πάνω για προεπισκόπηση"
"Root","Root"
"SKU","SKU"
"SKU length should be %s characters maximum.","Το μήκος του SKU πρέπει να είναι το πολύ %s χαρακτήρες."
"Save","Αποθήκευση"
"Save Attribute","Αποθήκευση Χαρακτηριστικού"
"Save Attribute Set","Αποθήκευση Συνόλου Χαρακτηριστικών"
"Save Category","Αποθήκευση Κατηγορίας"
"Save Search","Αποθήκευση Αναζήτησης"
"Save and Continue Edit","Αποθήκευση και Συνέχιση της Επεξεργασίας"
"Saved %d record(s)","Αποθηκευμένες %d αλλαγές"
"Scope","Εμβέλεια"
"Scope must not be changed, because the attribute is used in configurable products.","Η Εμβέλεια πρέπει να αλλάζει, επειδή το χαρακτηριστικό χρησιμοποιείται στα διαμορφώσιμα προϊόντα."
"Search","Αναζήτηση"
"Search Engine Optimizations","Βελτιστοποιήσεις Μηχανών Αναζήτησης(SEO)"
"Search Information","Πληροφορίες Αναζήτησης"
"Search Query","Ερώτημα Αναζήτησης"
"Search Term with such search query already exists.","Όρος αναζήτησης με τέτοιο ερώτημα αναζήτησης υπάρχει ήδη."
"Search Weight","Αναζήτηση Βάρους"
"Searchable","Αναζητήσιμα"
"See price before order confirmation.","Εμφάνιση τιμής πριν την επιβεβαίωση παραγγελίας."
"Select Category...","Επιλογή Κατηγορίας..."
"Select Configurable Attributes ","Επιλογή Διαμορφώσιμων Χαρακτηριστικών "
"Select Product...","Επιλογή Προϊόντος..."
"Select type of option","Επιλέξτε τον τύπο της επιλογής"
"Select type options required values rows.","Επιλέξτε τον τύπο της επιλογής που απαιτούνται για τις τιμές των γραμμών."
"Selected Product Types","Επιλεγμένοι Τύποι Προϊόντων"
"Send Count","Αποστολή Αρίθμησης"
"Set Ascending Direction","Αύξουσα Ταξινόμηση"
"Set Descending Direction","Φθίνουσα Ταξινόμηση"
"Set Name","Όνομα Συνόλου"
"Set Root Category for Store","Ρύθμιση Βασικής Κατηγορίας για Κατάστημα"
"Set root category for this store in the <a href=""%s"">configuration</a>","Καθορίστε κατηγορίας βάσης για αυτό το κατάστημα στη <a href=""%s"">διαμόρφωση</a>"
"Set special price","Ρύθμιση ειδικής τιμής"
"Set/Get current store view","Ρύθμιση / Λήψη τρέχουσας εμφάνισης καταστήματος"
"Settings","Ρυθμίσεις"
"Share Facebook","Κοινοποιήστε το στο Facebook"
"Share on Facebook","Μοιραστείτε το στο Facebook"
"Share on Twitter","Κοινοποιήστε το στο Twitter"
"Shop By","Αγορά με"
"Shopping Options","Επιλογες Αγορων"
"Show","Εμφάνιση"
"Show Details","Λεπτομέρειες "
"Show Tags","Εμφάνιση Ετικετών"
"Simple Product","Απλό Προϊόν"
"Site Map","Χάρτης ιστοχώρου"
"Sitemap","Χάρτης Ιστότοπου"
"Skip import row, is not valid value ""%s"" for field ""%s""","Προσπερνιέται η γραμμή εισαγωγής, δεν είναι έγκυρη η τιμή ""%s"" για το πεδίο ""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","Προσπερνιέται η γραμμή εισαγωγής, το υποχρεωτικό πεδίο ""%s"" για το νέο πελάτη δεν καθορίστηκε."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Προσπερνιέται η γραμμή εισαγωγής, η τιμή ""%s"" είναι άκυρη για το πεδίο ""%s"""
"Skipping import row, required field ""%s"" for new products is not defined.","Προσπερνιέται η γραμμή εισαγωγής, το υποχρεωτικό πεδίο ""%s"" για τα νέα προϊόντα δεν καθορίστηκε."
"Skipping import row, required field ""%s"" is not defined.","Προσπερνιέται η γραμμή εισαγωγής, το υποχρεωτικό πεδίο ""%s"" δεν καθορίστηκε."
"Skipping import row, store ""%s"" field does not exist.","Προσπερνιέται η γραμμή εισαγωγής, το πεδίο καταστήματος ""%s"" δεν υπάρχει."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Προσπερνιέται η γραμμή εισαγωγής, η τιμή ""%s"" είναι άκυρη για το ""%s"" πεδίο."
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Κάποια από τα επεξεργασμένα προϊόντα δεν έχουν καθορισμένη τιμή SKU. Παρακαλούμε να το συμπληρώσετε πριν από την εκτέλεση λειτουργιών για τα προϊόντα αυτά."
"Some of the selected item options are not currently available.","Κάποια από τα επιλεγμένες επιλογές ειδών δεν είναι προσωρινά διαθέσιμες. "
"Sort By","Ταξινόμηση κατά"
"Sort Order","Κανόνας Ταξινόμησης"
"Source Model","Μοντέλο Προέλευσης"
"Special Expires On: %s","Η Ειδική Τιμή Λήγει την: %s"
"Special Price:","Ειδική Τιμή:"
"Special Price: %s","Ειδική Τιμή: %s"
"Starting at:","Αρχίζει στα:"
"Static","Στατικό"
"Static block and products","Στατικό τμήμα και προϊόντα"
"Static block only","Μόνο Στατικό τμήμα"
"Status","Κατάσταση"
"Stock Availability","Διαθεσιμότητα Αποθέματος"
"Store","Κατάστημα"
"Store View","Όψη Καταστήματος"
"Stretch","Τέντωμα"
"Subscribe to RSS Feed","Εγγραφή στο RSS Feed"
"Super product attributes configuration","Διαμόρφωση χαρακτηριστικών Super προϊόντος"
"Synonym For","Συνώνυμο Για"
"System Properties","Ιδιότητες Συστήματος"
"Tag Name","Όνομα ετικέτας"
"Tax","Φόροι"
"Template","Πρότυπο(Template)"
"Text","Κείμενο"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","Η ενότητα λειτουργίας του Πάγιου Καταλόγου έχει το όριο των %2\$d φιλτραρισμένων και/ή ταξινομημένων χαρακτηριστικών. Προς το παρόν υπάρχουν %1\$d από αυτά. Παρακαλούμε μειώστε τον αριθμό των φιλτραρισμένων/ταξινομημένων χαρακτηριστικών ώστε να χρησιμοποιήσετε την ενότητα"
"The From Date value should be less than or equal to the To Date value.","Η τιμή του ""Από Ημ/νία"" πρέπει να είναι μικρότερο ή ίσο με την τιμή του ""'Εως Ημ/νία"""
"The attribute code \'%s\' is reserved by system. Please try another attribute code","Ο κωδικός χαρακτηριστικού \'%s\' προστατευτεί από το σύστημα. Παρακαλούμε προσπαθήστε άλλο κωδικό χαρακτηριστικού "
"The attribute model is not defined","Το μοντέλο χαρακτηριστικού δεν έχει καθοριστεί"
"The attribute set has been saved.","Το σύνολο χαρακτηριστικού έχει αποθηκευτεί."
"The base directory to upload file is not specified.","Ο βασικός φάκελος για το ανέβασμα αρχείου δεν έχει καθοριστεί."
"The category has been deleted.","Η κατηγορία έχει διαγραφεί"
"The category has been saved.","Η κατηγορία έχει αποθηκευτεί."
"The comparison list was cleared.","Η λίστα σύγκρισης καθαρίστηκε."
"The file '%s' for '%s' has an invalid extension","Το αρχείο '%s' για '%s' έχει μία άκυρη επέκταση"
"The file '%s' you uploaded is larger than %s Megabytes allowed by server","Το αρχείο '%s' που ανεβάσατε είναι μεγαλύτερο από %s Megabytes που επιτρέπεται από τον τοπικός εξυπηρετητή - server"
"The file you uploaded is larger than %s Megabytes allowed by server","Το αρχείο που ανεβάσατε είναι μεγαλύτερο από %s Megabytes που επιτρέπεται από τον τοπικός εξυπηρετητή - server"
"The filters must be an array.","Τα φίλτρα πρέπει να είναι σε διάταξη."
"The image contents is not valid base64 data.","Το περιεχόμενα της εικόνας δεν είναι έγκυρα base64 data."
"The image is not specified.","Η εικόνα δεν καθορίστηκε."
"The model collection resource name is not defined.","Το όνομα της πηγής συλλογής μοντέλου δεν καθορίστηκε."
"The product %s has been added to comparison list.","Το προϊόν %s έχει προστεθεί στη λίστα σύγκρισης."
"The product %s has been removed from comparison list.","Το προϊόν %s έχει αφαιρεθεί από τη λίστα σύγκρισης."
"The product attribute has been deleted.","Το χαρακτηριστικό προϊόντος έχει διαγραφεί."
"The product attribute has been saved.","Το χαρακτηριστικό προϊόντος έχει αποθηκευτεί."
"The product has been created.","Το προϊόν έχει δημιουργηθεί."
"The product has been deleted.","Το προϊόν έχει διαγραφεί."
"The product has been duplicated.","Το προϊόν έχει αντιγραφεί."
"The product has been saved.","Το προϊόν έχει αποθηκευτεί."
"The product has required options","Το προϊόν έχει υποχρεωτικές επιλογές"
"The review has been deleted","Η αξιολόγηση έχει διαγραφεί"
"The review has been saved.","Η αξιολόγηση έχει αποθηκευτεί."
"The review was removed by another user or does not exist.","Η αξιολόγηση έχει αφαιρεθεί από άλλον χρήστη ή δεν υπάρχει."
"The search was deleted.","Η αναζήτηση έχει διαγραφεί."
"The text is too long","Το κείμενο είναι πολύ μεγάλο"
"There are no %s available.","Δεν υπάρχουν %s διαθέσιμα."
"There are no customers for this alert","Δεν υπάρχουν πελάτες για αυτήν την ειδοποίηση"
"There are no customers for this alert.","Δεν υπάρχουν πελάτες για αυτήν την ειδοποίηση."
"There are no products matching the selection.","Δεν υπάρχουν προϊόντα που να ταιριάζουν με την επιλογή."
"There was an error while request processing.","Υπήρξε ένα σφάλμα κατά την επεξεργασία του αιτήματος."
"This Attribute no longer exists","Αυτό το Χαρακτηριστικό δεν υπάρχει πλέον"
"This attribute cannot be deleted.","Αυτό το χαρακτηριστικό δεν μπορεί να διαγραφεί."
"This attribute cannot be edited.","Αυτό το χαρακτηριστικό δεν μπορεί να επεξεργαστεί."
"This attribute cannot be updated.","Αυτό το χαρακτηριστικό δεν μπορεί να ανανεωθεί."
"This attribute is used in configurable products.","Αυτό το χαρακτηριστικό χρησιμοποιείται στα διαμορφώσιμα προϊόντα."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Αυτό το χαρακτηριστικό χρησιμοποιείται στα διαμορφώσιμα προϊόντα. Δεν μπορεί να αφαιρεθεί από το σύνολο χαρακτηριστικού."
"This attribute no longer exists","Αυτό το χαρακτηριστικό δεν υπάρχει πια"
"This attribute set no longer exists.","Αυτό το σύνολο χαρακτηριστικό δεν υπάρχει πλέον."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Αυτή η ομάδα περιέχει χαρακτηριστικά, που χρησιμοποιούνται στα διαμορφώσιμα προϊόντα. Παρακαλούμε μετακινήστε αυτά τα χαρακτηριστικά σε άλλη ομάδα και προσπαθήστε πάλι."
"This group contains system attributes. Please move system attributes to another group and try again.","Η ομάδα αυτή περιέχει χαρακτηριστικά συστήματος. Παρακαλούμε μετακινήστε τα χαρακτηριστικά συστήματος σε μια άλλη ομάδα και προσπαθήστε ξανά."
"This is a required option","Αυτή είναι υποχρεωτική επιλογή"
"This product no longer exists.","Αυτό το προϊόν δεν υπάρχει πλέον."
"This search no longer exists.","Αυτή η αναζήτηση δεν υπάρχει πλέον."
