"%s","%s"
"%s already exist.","%s υπάρχει ήδη"
"%s already exists.","%s υπάρχει ήδη."
"-- Please Select --","-- Παρακαλούμε Επιλέξτε --"
"The From Date value should be less than or equal to the To Date value.","Η τιμή του ""Από Ημ/νία"" πρέπει να είναι μικρότερο ή ίσο με την τιμή του ""'Εως Ημ/νία"""
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Ο κωδικός καταστήματος πρέπει να περιέχει μόνο γράμματα (aα-zω), νούμερα (0-9) ή τη κάτω παύλα (_), ο πρώτος χαρακτήρας πρέπει να είναι γράμμα."
"The store does not exist","Το κατάστημα δεν υπάρχει"
"The store has been deleted.","Το κατάστημα έχει διαγραφεί."
"The store has been saved.","Το κατάστημα έχει αποθηκευτεί."
"The store view has been deleted.","Η όψη καταστήματος έχει διαγραφεί."
"The store view has been saved","Η όψη καταστήματος έχει αποθηκευτεί"
"The template Name must not be empty.","Το Όνομα του προτύπου(template) δεν πρέπει να είναι κενό."
"The value is not within the specified range.","Η τιμή-αξία δεν είναι μεταξύ των καθορισμένων ορίων."
"The website does not exist.","Ο ιστότοπος δεν υπάρχει."
"The website has been deleted.","Ο ιστότοπος έχει διαγραφεί."
"The website has been saved.","Ο ιστότοπος έχει αποθηκευτεί."
"Themes","Θέματα"
"This category and all its child elements","Αυτή η κατηγορία και όλα τα επακόλουθα στοιχεία της"
"This category and its child categories only","Αυτή η κατηγορία και τα επακόλουθα στοιχεία της μόνο"
"This category and its products only","Αυτή τη κατηγορία και τα προϊόντα της μόνο"
"This category only","Αυτή τη κατηγορία μόνο"
"This date is a required value.","Αυτή η ημερομηνία είναι υποχρεωτική τιμή."
"This is a required field.","Αυτό το πεδίο είναι υποχρεωτικό."
"This store cannot be deleted.","Αυτό το κατάστημα δεν μπορεί να διαγραφεί."
"This store view cannot be deleted.","Αυτή η όψη καταστήματος δεν μπορεί να διαγραφεί."
"This website cannot be deleted.","Ο ιστότοπος αυτός δεν μπορεί να διαγραφεί."
"This will be displayed just before body closing tag.","Αυτό θα εμφανιστεί λίγο πριν το σώμα της τελικής ετικέτας."
"This will be included before head closing tag in page HTML.","Αυτό θα περιλαμβάνεται πριν την κεφαλίδα της τελικής ετικέτας στη σελίδα HTML."
"Timezone","Ζώνη Ώρας"
"Title Prefix","Πρόθεμα Τίτλου"
"Title Suffix","Επίθεμα Τίττλου"
"Transactional Emails","Email συναλλαγών"
"Translate Inline","Μεταφράστε στη Σειρά"
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.","Μετάφραση, τμήματα και άλλες εξερχόμενες μνήμες πρέπει να απενεργοποιούνται και για τις δύο μεταφράσεις σειρών προσκήνιου και διαχειριστή."
"Translations","Μεταφράσεις"
"Two and more slashes together are not permitted in request path","Δύο ή περισσότερες κάθετες μαζί δεν επιτρέπονται στην αιτούμενη διαδρομή"
"Two and more slashes together are not permitted in url rewrite suffix","Δύο ή περισσότερες κάθετες μαζί δεν επιτρέπονται στο επίθεμα του ξαναεγγραμμένου url"
"Unable to create directory: %s","Αδύνατον να δημιουργηθεί φάκελος: %s"
"Unable to delete store view. Please, try again later.","Αδύνατον να διαγραφεί η όψη καταστήματος. Παρακαλούμε, ξαναπροσπαθήστε  αργότερα."
"Unable to delete store. Please, try again later.","Αδύνατον να διαγραφεί το κατάστημα. Παρακαλούμε, ξαναπροσπαθήστε αργότερα."
"Unable to delete website. Please, try again later.","Αδύνατον να διαγραφεί ο ιστότοπος. Παρακαλούμε, ξαναπροσπαθήστε αργότερα. "
"Unable to proceed. Please, try again","Υπήρξε αδυναμία να προχωρήσουμε. Παρακαλούμε, προσπαθήστε ξανά."
"Unable to proceed. Please, try again.","Υπήρξε αδυναμία να προχωρήσουμε. Παρακαλούμε, προσπαθήστε ξανά."
"Unable to save file ""%s"" at ""%s""","Αδύνατον να γίνει αποθήκευση του αρχείου ""%s"" στο ""%s"""
"Unable to save file: %s","Αδύνατον να αποθηκευτεί το αρχείο: %s"
"Unknown old style column type definition: {$definition}.","Άγνωστος παλαιός τύπος ορισμού στυλ στήλης: {$definition}."
"Unknown scope ""%s"".","Άγνωστη εμβέλεια ""%s""."
"Unsecure","Επισφαλές"
"Url Options","Επιλογές Url"
"Use Custom Admin Path","Χρήση Προσαρμοσμένης Διαδρομής Διαχειριστή"
"Use Custom Admin URL","Χρήση Προσαρμοσμένου URL Διαχειριστή"
"Use HTTP Only","Χρήση μόνο HTTP "
"Use SID on Frontend","Χρήση SID στο Προσκήνιο (Frontend)"
"Use Secure URLs in Admin","Χρήση Ασφαλών URLs στη Διαχειρ."
"Use Secure URLs in Frontend","Χρήση Ασφαλών URLs στο Frontend"
"Use Web Server Rewrites","Χρήση Web Server Rewrites"
"VAT Number","Αριθμός Φορολογικού Μητρώου - Α.Φ.Μ."
"Validate HTTP_USER_AGENT","Έλεγχος HTTP_USER_AGENT"
"Validate HTTP_VIA","Έλεγχος HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Έλεγχος HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Έλεγχος REMOTE_ADDR"
"Validation has failed.","Ο έλεγχος απέτυχε."
"Values less than 60 are ignored. Note that changes will apply after logout.","Οι τιμές μικρότερες των 60 αγνοούνται. Σημειώνεται ότι οι αλλαγές θα εφαρμοστούν μετά την αποσύνδεση."
"Variable Code must be unique.","Ο Κωδικός Μεταβλητής πρέπει να είναι μοναδικός."
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","Προσοχή! Η ενεργοποίηση αυτής της δυνατότητας δεν συνιστάται σε περιβάλλοντα παραγωγής, διότι αντιπροσωπεύει ένα δυνητικό κίνδυνο για την ασφάλεια."
"Web","Web"
"Website","Ιστότοπος"
"Website Information","Πληροφορίες Ιστότοπου"
"Website Name","Όνομα Ιστότοπου"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Ο κωδικός του ιστότοπου πρέπει να περιέχει μόνο γράμματα (aα-zω), νούμερα (0-9) ή τη κάτω παύλα (_), ο πρώτος χαρακτήρας πρέπει να είναι γράμμα"
"Website with the same code","Ιστότοπος με τον ίδιο κωδικό"
"Weekend Days","Ημέρες Σαββατοκύριακου"
"Welcome Text","Κείμενο Καλωσορίσματος"
"Wrong file info format","Λάθος διαμόρφωση αρχείου πληροφορίας"
"Wrong number of arguments for %s","Εσφαλμένος αριθμός ορισμάτων για %s"
"Wrong old style column type definition: {$definition}.","Λάθος παλαιός τύπος ορισμού στυλ στήλης: {$definition}."
"Yes","Ναι"
"You will have to log in after you save your custom admin path.","Θα πρέπει να συνδεθείτε αφού αποθηκεύσετε την προσαρμοσμένη σας διαδρομή διαχειριστή. "
"Your design change for the specified store intersects with another one, please specify another date range.","Η αλλαγή του σχεδιασμού σας για το συγκεκριμένο κατάστημα διασταυρώνεται με ένα άλλο, προσδιορίστε ένα άλλο εύρος ημερομηνίας."
"database ""%s""","βάση δεδομένων ""%s"""
